open,high,low,close,volume
29.3,30,29.171,30.02,18304949.0
30.66,30,30.2,30.66,10612821.0
30.71,31,30.65,31.2,7583631.0
30.65,31,30.62,31.35,11397447.0
31.02,31,29.91,30.4,13699981.0
30.4,30,28.67,30.18,16288488.0
30.32,32,30.02,31.96,23966003.0
32.24,33,32.1,32.98,22726800.0
33.36,34,33.2,33.8,13677012.0
33.44,34,33.0,33.55,12795698.0
33.95,34,33.05,33.96,21743871.0
34.04,34,33.58,34.05,11241908.0
33.82,33,33.4,33.8,15471546.0
33.71,34,33.7,34.66,13924507.0
34.81,35,34.65,35.67,15411777.0
36.1,36,35.38,35.58,11110235.0
35.58,35,34.39,35.13,11990875.0
34.89,35,34.36,34.69,9386780.0
34.07,35,34.06,35.025,8412272.0
34.85,35,34.22,34.41,7307286.0
34.73,34,34.2,34.31,7090152.0
34.25,35,34.11,34.59,7259501.0
34.43,35,34.43,35.66,9289448.0
35.78,36,35.75,36.17,7821334.0
36.2,36,36.02,36.65,7022370.0
36.63,37,36.51,37.0,8991389.0
37.12,37,36.58,36.75,10516864.0
36.88,36,36.34,36.56,5666647.0
36.11,36,36.07,36.93,7991349.0
36.17,36,35.32,36.1,9495177.0
36.57,37,36.57,37.34,11742444.0
37.6,38,37.51,37.86,8793959.0
38.28,39,38.28,38.81,14008414.0
39.17,39,38.11,39.02,10540431.0
38.7,39,38.55,38.96,11415390.0
38.65,39,37.95,38.08,11311219.0
37.97,38,37.23,37.5599,9416584.0
37.9,37,35.75,36.74,11743627.0
36.0,37,35.67,36.34,7199813.0
36.62,37,36.53,37.7,9240047.0
37.75,38,37.09,37.35,5716947.0
37.27,37,36.68,37.08,3863064.0
36.61,37,36.28,36.56,6952115.0
36.76,36,35.91,36.11,14113193.0
36.25,36,36.03,36.8,6514506.0
36.88,38,36.86,37.9,10419256.0
38.15,38,36.64,36.7,7322443.0
36.62,36,35.02,35.77,9546097.0
35.77,36,35.35,35.39,6792745.0
35.84,36,35.75,36.6,8415583.0
36.95,38,36.85,37.94,11065541.0
38.24,38,37.48,37.71,12508405.0
37.72,38,36.96,37.34,7939297.0
37.41,37,36.3001,36.56,8733197.0
36.78,37,35.46,35.78,10577786.0
36.0,36,33.62,35.98,17409958.0
36.08,37,35.16,36.9,11479241.0
36.7,37,34.6,35.29,16312604.0
34.1,35,33.59,33.6799,15538291.0
34.0,34,32.77,33.37,13466805.0
33.52,34,31.86,33.72,15981721.0
34.17,35,33.94,35.51,15636133.0
35.5,35,34.82,35.4,9225655.0
35.08,35,34.86,35.67,7190588.0
35.76,36,35.75,36.16,8942295.0
37.14,37,36.4,37.09,14649452.0
37.84,38,35.8,37.26,21038719.0
37.0,37,35.91,36.0,9576404.0
36.41,36,34.34,35.16,13149281.0
35.2,35,34.97,35.51,8994998.0
35.68,35,34.89,35.07,6946491.0
35.86,36,35.465,36.39,11502084.0
36.27,36,36.06,36.49,6987195.0
36.08,36,35.79,36.6,5819281.0
37.14,37,36.39,36.67,9492604.0
36.53,37,36.31,37.22,7800951.0
37.25,38,37.05,38.25,14451109.0
37.96,38,37.91,38.26,9704405.0
38.35,39,38.35,39.39,12440659.0
38.95,39,38.85,39.31,8680113.0
39.08,39,38.56,38.84,7993886.0
38.55,38,37.48,38.19,10677177.0
38.01,38,37.76,38.525,7062948.0
38.49,39,38.1,38.57,7165081.0
38.54,38,38.02,38.24,6285855.0
38.28,38,38.05,38.32,6565390.0
38.3,38,38.3,38.72,6414652.0
38.53,39,38.53,39.11,9865965.0
39.38,39,39.23,39.35,9586877.0
39.4,40,39.19,39.8,11133508.0
39.89,40,39.36,39.82,9668210.0
39.83,40,39.68,40.16,13888723.0
40.0,41,40.0,41.22,9906030.0
41.13,42,41.1103,41.44,9460202.0
41.36,42,41.2,42.82,11934666.0
43.0,43,42.27,42.41,8543065.0
42.45,43,42.42,43.88,13616388.0
44.0,44,43.07,43.59,11689566.0
43.5,43,42.93,43.66,8384472.0
42.9,43,42.03,42.29,13185059.0
41.27,41,38.855,40.2,37320111.0
40.25,40,39.55,40.38,13594153.0
39.68,41,39.67,41.06,13634011.0
41.08,42,40.76,41.87,12527641.0
41.93,42,41.57,42.66,11250953.0
42.82,43,42.66,43.06,14117100.0
43.04,44,43.03,44.55,40644263.0
44.3,44,43.8,44.36,18457895.0
44.14,44,42.76,43.179,13252583.0
42.9,44,42.3,43.91,10944639.0
43.96,44,43.5,44.55,11175082.0
44.3,44,43.91,44.0,41471585.0
44.04,44,42.83,42.96,10456585.0
43.44,43,43.05,43.86,9165112.0
42.89,42,41.42,41.95,19747272.0
42.61,42,41.4,41.62,8257974.0
41.72,41,39.92,40.1,14227133.0
39.14,40,37.9,40.26,26401824.0
42.08,42,40.505,41.985,20468311.0
41.0,42,40.771,42.82,11829169.0
42.91,43,42.52,42.88,8135498.0
43.26,43,42.73,42.98,7215369.0
43.33,43,42.78,43.7,8360710.0
44.0,44,43.3,43.48,6371440.0
